,0
0,198.75
1,195.35000000000002
2,192.25
3,185.5
4,176.35000000000002
5,173.05
6,169.64999999999998
7,183.2
8,156.55
9,152.8
10,150.45
11,143.7
12,141.4
13,138.6
14,136.05
15,135.25
16,134.85000000000002
17,129.45
18,134.2
19,121.4
20,114.4
21,121.8
22,114.4
23,114.6
24,111.4
25,110.3
26,110.05
27,101.65
28,99.65
29,100.7
30,105.9
31,119.5
32,92.4
33,88.3
34,91.35
35,85.55
36,76.65
37,78.95
38,92.2
39,81.45
40,81.1
41,74.25
42,82.0
43,78.35
44,77.25
45,76.1
46,73.30000000000001
47,76.7
48,70.95
49,74.4
50,74.1
51,80.5
52,78.65
53,68.3
54,76.85
55,80.75
56,84.9
57,86.05
58,75.25
59,87.45
60,71.8
61,66.65
62,66.0
63,67.45
64,60.0
65,65.55
66,63.3
67,68.05
68,65.3
69,56.55
70,54.2
71,54.95
72,52.9
73,53.2
74,52.4
75,51.55
76,54.0
77,92.0
78,91.5
79,53.5
80,52.25
81,47.05
82,44.849999999999994
83,43.8
84,43.650000000000006
85,43.45
86,47.2
87,45.650000000000006
88,45.2
89,51.150000000000006
90,69.0
91,63.05
92,50.4
93,49.0
94,46.849999999999994
95,43.7
96,42.0
97,45.7
98,47.1
99,41.4
