,0
0,424.7
1,416.3
2,424.7
3,424.0
4,414.0
5,402.5
6,397.4
7,424.2
8,392.6
9,385.5
10,382.7
11,382.3
12,369.0
13,376.6
14,367.5
15,361.2
16,355.4
17,341.1
18,342.7
19,332.3
20,330.7
21,329.3
22,327.6
23,325.1
24,317.9
25,314.3
26,312.4
27,306.0
28,286.8
29,283.6
30,292.2
31,321.6
32,292.1
33,276.3
34,285.0
35,270.0
36,266.4
37,250.4
38,288.8
39,258.1
40,253.0
41,240.5
42,269.2
43,252.9
44,253.0
45,254.3
46,237.7
47,250.4
48,252.1
49,255.4
50,263.7
51,251.8
52,278.9
53,268.0
54,265.4
55,256.6
56,292.7
57,280.1
58,267.2
59,279.9
60,251.3
61,251.8
62,252.7
63,253.3
64,236.9
65,244.0
66,241.0
67,238.9
68,231.9
69,214.2
70,206.7
71,216.8
72,213.8
73,206.2
74,205.5
75,199.2
76,207.0
77,319.3
78,279.7
79,211.9
80,210.9
81,192.9
82,185.9
83,186.2
84,191.4
85,185.8
86,189.3
87,187.4
88,194.6
89,195.6
90,270.8
91,214.8
92,207.3
93,189.1
94,184.9
95,183.9
96,183.0
97,190.0
98,198.9
99,173.8
